neighbourhood,latitude,longitude,property_type,price,rooms,baths,area,administration_price,age,garages,stratum
EL ESMERALDAL,6.178203400000001,-75.5771516,Apartamento,580000000,3,3,103.0,0.0,1.0,1,5
Monteazul,6.1792444,-75.585255,Apartaestudio,330000000,1,2,48.0,0.0,0.0,1,4
sabaneta,6.1565853,-75.6091469,Apartamento,340000000,2,2,74.0,218000.0,,1,4
Veinte de julio,6.254454000000001,-75.6158533,Proyecto,255000000,1,1,25.2,0.0,,,3
Laureles,6.2461008,-75.6021567,Apartamento,450000000,4,3,124.0,0.0,,1,4
BARRIO CRISTOBAL,6.2473714,-75.6100608,Apartamento,230000000,3,2,80.0,50000.0,2.0,,3
Holanda,6.1504856,-75.61687859999999,Apartamento,790000000,3,2,116.0,0.0,1.0,1,5
pan de azucar,6.1463322,-75.6272175,Apartamento,430000000,2,2,74.0,349000.0,1.0,1,4
Asomadera no.2,6.2153256,-75.5644914,Apartamento,760000000,3,2,140.0,610000.0,3.0,2,5
San diego,10.4051715,-75.4614185,Casa,9999999999,4,6,830.0,0.0,2.0,5,6
zuñiga,6.1805886,-75.57767199999999,Apartamento,720000000,4,4,137.0,441032.0,3.0,2,5
Loma del Indio,6.2241572,-75.5619384,Apartamento,785000000,3,2,78.0,250000.0,0.0,2,6
SAN MARCOS,6.174470599999999,-75.5877076,Casa,780000000,4,3,187.0,0.0,,,4
Castilla,6.2476376,-75.56581530000001,Casa,340000000,,2,90.0,0.0,,1,3
Calle larga,6.151831,-75.6206232,Apartamento,235000000,2,2,62.0,51000.0,2.0,,3
Centro administrativo,6.2415308,-75.56370369999999,Apartamento,285000000,3,2,92.0,0.0,,,3
las lomitas,6.1532287,-75.6102909,Apartamento,315000000,2,2,62.0,158000.0,0.0,1,4
suramerica,6.1640057,-75.6363293,Apartamento,285000000,2,2,54.0,182000.0,0.0,1,4
La floresta,6.261308,-75.604444,Casa,500000000,10,3,235.0,0.0,1.0,,4
Loma Del Esmeraldal,6.1723347,-75.5701081,Apartamento,880000000,3,4,153.0,0.0,1.0,2,5
Zona centro,6.161645099999999,-75.57391009999999,Apartamento,2500000000,4,5,191.0,0.0,1.0,2,6
loma de los Benedictinos,6.167286499999999,-75.5836963,Apartamento,735000000,3,2,138.0,0.0,,,5
Belén San Bernardo,6.2277211,-75.59728860000001,Apartamento,295000000,3,2,75.0,0.0,1.0,,4
Loma del barro,6.155079400000001,-75.5982837,Apartamento,386000000,3,2,68.0,280000.0,1.0,1,4
Calasanz,6.2477819,-75.602434,Casa,740000000,4,4,210.0,0.0,4.0,1,6
Mesa,6.1645495,-75.5882285,Apartamento,825000000,3,3,113.0,409000.0,,2,5
Loma el atravesado,6.171474799999999,-75.56515019999999,Casa,2700000000,3,3,300.0,0.0,1.0,2,4
San cristobal,6.280745,-75.6027786,Apartamento,138000000,2,1,42.0,0.0,2.0,,3
zuñiga,6.1703575,-75.5937648,Apartamento,500000000,3,2,80.0,0.0,2.0,1,5
las lomitas,6.1475477,-75.6062094,Apartamento,308000000,2,2,60.0,130000.0,3.0,1,4
LOMA DEL ATRAVESADO,6.1703038,-75.5648803,Casa,1100000000,3,4,200.0,800000.0,1.0,2,5
La madera,6.3170372,-75.5534275,Apartamento,290000000,3,2,67.0,208000.0,1.0,1,3
los alcázares,6.152690799999999,-75.611102,Apartamento,490000000,3,2,78.0,0.0,1.0,1,4
Las Palmas,6.167286499999999,-75.5836963,Casa,5300000000,4,4,695.0,850000.0,2.0,4,6
El Campestre,6.185618499999999,-75.56699909999999,Apartamento,1100000000,3,5,280.0,1160000.0,1.0,2,6
Calasanz,6.270287,-75.6090783,Apartamento,285000000,2,2,58.0,248000.0,,1,4
Calasanz,6.268142699999999,-75.60090570000001,Apartamento,320000000,3,2,72.0,235000.0,2.0,1,4
Vegas de la doctora,6.1504856,-75.61687859999999,Apartamento,400000000,3,2,70.0,397000.0,1.0,1,3
Torres de santa barbara,6.1748124,-75.58181859999999,Apartamento,350000000,4,2,90.0,20000.0,3.0,,3
LOMA DEL ESCOBERO,6.1645806,-75.5788177,Apartamento,440000000,4,3,86.0,365000.0,,1,5
envigado,6.1662123,-75.59877999999999,Apartamento,320000000,3,2,60.0,200000.0,,1,5
Loma Del Atravesado Envigado,6.178743799999999,-75.5720296,Apartamento,870000000,3,5,158.0,666000.0,2.0,2,5
Robledo,6.2874007,-75.5859681,Apartamento,198000000,3,2,98.0,0.0,3.0,,2
vegas de la doctora,6.1459817,-75.6148303,Apartamento,424000000,2,2,86.0,317000.0,1.0,1,3
transversal intermedia,6.1664953,-75.5692949,Casa,1150000000,3,4,216.0,580000.0,3.0,2,5
Robledo,6.2839324,-75.5952089,Apartamento,380000000,4,2,108.0,0.0,2.0,,3
Alqueria de san isidro,6.1613648,-75.5761748,Casa,2250000000,4,5,325.0,130000.0,4.0,2,5
Pan de azucar,6.1538457,-75.6124546,Apartamento,369900000,3,2,74.0,270000.0,,1,4
SAN MARCOS,6.174890299999999,-75.58768529999999,Casa,850000000,4,3,220.0,0.0,4.0,1,4
Las Palmas,6.167286499999999,-75.5836963,Casa,3300000000,5,5,400.0,987000.0,1.0,4,5
San Diego,6.224415,-75.5672884,Apartamento,410000000,3,2,70.0,280000.0,3.0,,4
Aranjuez,6.2826057,-75.5555023,Casa,235000000,3,2,75.0,0.0,4.0,,3
la fe,6.2476376,-75.56581530000001,Apartamento,403000000,1,1,47.0,0.0,,1,5
Calasanz,6.2450378,-75.5610181,Casa,547000000,3,3,154.0,0.0,3.0,1,4
Suramerica,6.1681832,-75.6190324,Casa,1120000000,4,3,196.0,360000.0,1.0,2,4
San jose,6.1410243,-75.61939149999999,Apartamento,750000000,3,4,130.0,375000.0,2.0,2,4
